season_id,matchup_home,season_type,min,team_name_home,fg3m_home,fg3a_home,fg3_pct_home,wl_home,team_name_away,fg3m_away,fg3a_away,fg3_pct_away,wl_away,highest_3pp,highest_3pp_wl
22015,MEM vs. SAS,Regular Season,240,Memphis Grizzlies,2,16,0.125,L,San Antonio Spurs,10,18,0.556,W,0.556,W
22015,NOP vs. CLE,Regular Season,265,New Orleans Pelicans,9,25,0.36,W,Cleveland Cavaliers,10,33,0.303,L,0.36,W
22015,DET vs. MIL,Regular Season,240,Detroit Pistons,7,23,0.304,W,Milwaukee Bucks,4,18,0.222,L,0.304,W
22015,DAL vs. HOU,Regular Season,240,Dallas Mavericks,8,29,0.276,L,Houston Rockets,12,26,0.462,W,0.462,W
22015,WAS vs. PHX,Regular Season,240,Washington Wizards,10,26,0.385,W,Phoenix Suns,10,23,0.435,L,0.435,L
22015,NYK vs. BKN,Regular Season,240,New York Knicks,12,27,0.444,W,Brooklyn Nets,3,11,0.273,L,0.444,W
22015,ATL vs. LAL,Regular Season,240,Atlanta Hawks,10,26,0.385,W,Los Angeles Lakers,13,27,0.481,L,0.481,L
22015,LAC vs. ORL,Regular Season,240,LA Clippers,12,31,0.387,W,Orlando Magic,6,20,0.3,L,0.387,W
22015,SAS vs. BOS,Regular Season,240,San Antonio Spurs,5,17,0.294,W,Boston Celtics,12,29,0.414,L,0.414,L
22015,PHI vs. DEN,Regular Season,240,Philadelphia 76ers,15,31,0.484,L,Denver Nuggets,11,31,0.355,W,0.484,L
22015,MIL vs. NYK,Regular Season,240,Milwaukee Bucks,2,4,0.5,W,New York Knicks,6,25,0.24,L,0.5,W
22015,UTA vs. IND,Regular Season,265,Utah Jazz,8,23,0.348,W,Indiana Pacers,12,29,0.414,L,0.414,L
22015,CHI vs. CHA,Regular Season,240,Chicago Bulls,9,25,0.36,L,Charlotte Hornets,10,34,0.294,W,0.36,L
22015,MIN vs. POR,Regular Season,240,Minnesota Timberwolves,5,15,0.333,L,Portland Trail Blazers,10,20,0.5,W,0.5,W
22015,HOU vs. SAC,Regular Season,240,Houston Rockets,16,34,0.471,W,Sacramento Kings,10,26,0.385,L,0.471,W
22015,MIA vs. CLE,Regular Season,240,Miami Heat,7,16,0.438,W,Cleveland Cavaliers,6,28,0.214,L,0.438,W
22015,TOR vs. GSW,Regular Season,240,Toronto Raptors,8,20,0.4,L,Golden State Warriors,16,30,0.533,W,0.533,W
22015,OKC vs. SAC,Regular Season,240,Oklahoma City Thunder,6,22,0.273,W,Sacramento Kings,7,24,0.292,L,0.292,L
22015,DET vs. LAL,Regular Season,240,Detroit Pistons,9,24,0.375,W,Los Angeles Lakers,5,18,0.278,L,0.375,W
22015,MEM vs. PHX,Regular Season,240,Memphis Grizzlies,5,15,0.333,W,Phoenix Suns,9,31,0.29,L,0.333,W
22015,BKN vs. GSW,Regular Season,240,Brooklyn Nets,5,17,0.294,L,Golden State Warriors,14,33,0.424,W,0.424,W
22015,WAS vs. DAL,Regular Season,240,Washington Wizards,8,27,0.296,L,Dallas Mavericks,16,31,0.516,W,0.516,W
22015,MIL vs. POR,Regular Season,240,Milwaukee Bucks,4,13,0.308,W,Portland Trail Blazers,8,33,0.242,L,0.308,W
22015,CHA vs. DET,Regular Season,240,Charlotte Hornets,8,26,0.308,W,Detroit Pistons,10,34,0.294,L,0.308,W
22015,NYK vs. DAL,Regular Season,240,New York Knicks,9,25,0.36,L,Dallas Mavericks,13,31,0.419,W,0.419,W
22015,MIA vs. WAS,Regular Season,240,Miami Heat,5,16,0.313,L,Washington Wizards,9,18,0.5,W,0.5,W
22015,PHI vs. SAS,Regular Season,240,Philadelphia 76ers,4,24,0.167,L,San Antonio Spurs,4,11,0.364,W,0.364,W
22015,TOR vs. LAL,Regular Season,240,Toronto Raptors,9,25,0.36,W,Los Angeles Lakers,7,19,0.368,L,0.368,L
